"step","name","platform","value"
"1","Downloads","android","6935"
"2","Signups","android","5148"
"3","Ride_Requested","android","3619"
"4","Rides_Accepted","android","3580"
"5","Rides_Completed","android","1830"
"6","Payment","android","1830"
"7","Review","android","1273"
"1","Downloads","ios","14290"
"2","Signups","ios","10728"
"3","Ride_Requested","ios","7550"
"4","Rides_Accepted","ios","7471"
"5","Rides_Completed","ios","3792"
"6","Payment","ios","3792"
"7","Review","ios","2651"
"1","Downloads","web","2383"
"2","Signups","web","1747"
"3","Ride_Requested","web","1237"
"4","Rides_Accepted","web","1227"
"5","Rides_Completed","web","611"
"6","Payment","web","611"
"7","Review","web","424"
