"step","name","platform","value"
"1","Ride_Requested","android","112317"
"2","Rides_Accepted","android","72632"
"3","Rides_Completed","android","65431"
"4","Payment","android","62223"
"5","Review","android","45479"
"1","Ride_Requested","ios","234693"
"2","Rides_Accepted","ios","151167"
"3","Rides_Completed","ios","136146"
"4","Payment","ios","129387"
"5","Review","ios","95427"
"1","Ride_Requested","web","38467"
"2","Rides_Accepted","web","24580"
"3","Rides_Completed","web","22075"
"4","Payment","web","21018"
"5","Review","web","15305"
