"step","name","age_range","value"
"1","Ride_Requested","18-24","40620"
"2","Rides_Accepted","18-24","26607"
"3","Rides_Completed","18-24","24046"
"4","Payment","18-24","22922"
"5","Review","18-24","16982"
"1","Ride_Requested","25-34","75236"
"2","Rides_Accepted","25-34","48879"
"3","Rides_Completed","25-34","44121"
"4","Payment","25-34","41900"
"5","Review","25-34","30295"
"1","Ride_Requested","35-44","114209"
"2","Rides_Accepted","35-44","74130"
"3","Rides_Completed","35-44","66853"
"4","Payment","35-44","63521"
"5","Review","35-44","47881"
"1","Ride_Requested","45-54","39683"
"2","Rides_Accepted","45-54","25236"
"3","Rides_Completed","45-54","22675"
"4","Payment","45-54","21529"
"5","Review","45-54","16287"
"1","Ride_Requested","Unknown","115729"
"2","Rides_Accepted","Unknown","73527"
"3","Rides_Completed","Unknown","65957"
"4","Payment","Unknown","62756"
"5","Review","Unknown","44766"
"1","Ride_Requested","","0"
"2","Rides_Accepted","","0"
"3","Rides_Completed","","0"
"4","Payment","","0"
"5","Review","","0"
